Word	Definition	Class	Register	CEFR Level	IPA	Image	Example	Cambridge Examples	Audio	Definition Audio	Example Audio	Explanation	Morphology	Etymology	Connected Words	Hint	ID	Hide this	Tags
laugh	"<span id=""word-in-definition"">laugh</span> is the sound made when someone is happy or a funny thing occurs."	noun		B1	/læf/	"<img src=""laugh.jpg"">"	The sound of their laugh filled the room.	"• a loud/nervous laugh
<br>• I was embarrassed at the time, but I had a good laugh about it later."	[sound:oxford_laugh.mp3]	[sound:laugh_meaning.mp3]	[sound:laugh_example.mp3]						laugh	laugh	English::cefr-B1
nervous	"When a person is <span id=""word-in-definition"">nervous</span>, they think something bad will happen."	adjective		B1	/ˈnɝː.vəs/	"<img src=""nervous.jpg"">"	The boy became nervous when he heard the news.	"• Do you feel/get nervous during exams?
<br>• I was too nervous to speak.
<br>• She's always been nervous around dogs.
<br>• I was very nervous about driving again after the accident.
<br>• He had/was of a nervous disposition."	[sound:oxford_nervous.mp3]	[sound:nervous_meaning.mp3]	[sound:nervous_example.mp3]						nervous	nervous	English::cefr-B1
project	"A <span id=""word-in-definition"">project</span> is a type of work that you do for school or a job."	noun		B2	/ˈprɑː.dʒekt/	"<img src=""project.jpg"">"	His afternoon work project was to paint the room green.	"• He's doing a class project on pollution.
<br>• In our third year at college everyone had to do a special project."	[sound:oxford_project.mp3]	[sound:project_meaning.mp3]	[sound:project_example.mp3]						project	project	English::cefr-B2
among	"If you are <span id=""word-in-definition"">among</span> certain things, they are all around you.<br><hr>ortasında, arasında"	preposition		B1	/əˈmʌŋ/	"<img src=""among.jpg"">"	There was a red apple among green ones.	"• I saw a few familiar faces among the crowd.
<br>• Rescue teams searched among the wreckage for survivors."	[sound:oxford_among.mp3]	[sound:among_meaning.mp3]	[sound:among_example.mp3]						among	among	English::cefr-B1
chart	"A <span id=""word-in-definition"">chart</span> is a list of information."	noun		B2	/tʃɑːrt/	"<img src=""chart.jpg"">"	We used a chart to see how we had improved.	"• There is a chart on the classroom wall showing the relative heights of all the children.
<br>• The sales chart shows a distinct decline in the past few months.
<br>• the TV weather chart"	[sound:oxford_chart.mp3]	[sound:chart_meaning.mp3]	[sound:chart_example.mp3]						chart	chart	English::cefr-B2
grade	"A <span id=""word-in-definition"">grade</span> is a score or mark given to someone's work."	noun		B1	/ɡreɪd/	"<img src=""grade.jpg"" />"	I managed to get good grades on my report card.	"• Steve never studies, but he always gets good grades.
<br>• UK Carla got a grade A in German."	[sound:oxford_grade.mp3]	[sound:grade_meaning.mp3]	[sound:grade_example.mp3]						grade	grade	English::cefr-B1
planet	"A <span id=""word-in-definition"">planet</span> is a large round thing in space."	noun		B1	/ˈplæn.ɪt/	"<img src=""planet.jpg"" />"	Saturn is the planet with the ring around it.	"• the planet Earth/Venus
<br>• Might there be intelligent life on other planets?"	[sound:oxford_planet.mp3]	[sound:planet_meaning.mp3]	[sound:planet_example.mp3]						planet	planet	English::cefr-B1
report	"A <span id=""word-in-definition"">report</span> is something students write for school."	noun		B1	/rɪˈpɔːrt/	"<img src=""report.jpg"" />"	Karen had trouble writing her report.	"• a news/weather report
<br>• a company's financial/annual report
<br>• I gave/made/submitted a report of the theft to the insurance company.
<br>• She sent in weekly reports on the situation."	[sound:oxford_report.mp3]	[sound:report_meaning.mp3]	[sound:report_example.mp3]						report	report	English::cefr-B1
solve	"To <span id=""word-in-definition"">solve</span> something is to find an answer to it."	verb		B1	/sɑːlv/	"<img src=""solve.jpg"" />"	All the students could easily solve the math problem.	"• to solve a problem
<br>• to solve a mystery/puzzle
<br>• Just calm down - shouting won't solve anything!
<br>• This strategy could cause more problems than it solves.
<br>• The police are still no nearer to solving the crime."	[sound:oxford_solve.mp3]	[sound:solve_meaning.mp3]	[sound:solve_example.mp3]						solve	solve	English::cefr-B1
suddenly	"If something happens <span id=""word-in-definition"">suddenly</span>, it happens quickly and unexpectedly."	adverb		B1	/ˈsʌd.ən.li/	"<img src=""suddenly.jpg"" />"	I was suddenly surprised by the cake my friends brought me.	"• ""Do you remember much about the accident?"" ""No, it all happened so suddenly.""
<br>• I was just dozing off when suddenly I heard a scream from outside.
<br>• I suddenly realized what I'd said, but it was too late."	[sound:oxford_suddenly.mp3]	[sound:suddenly_meaning.mp3]	[sound:suddenly_example.mp3]						suddenly	suddenly	English::cefr-B1
universe	"The <span id=""word-in-definition"">universe</span> is the known or supposed objects in space."	noun		B1	/ˈjuː.nə.vɝːs/	"<img src=""universe.jpg"" />"	The universe is so large that it cannot be measured.	• Is there intelligent life elsewhere in the universe?	[sound:oxford_universe.mp3]	[sound:universe_meaning.mp3]	[sound:universe_example.mp3]						universe	universe	English::cefr-B1
appropriate	"When a thing is <span id=""word-in-definition"">appropriate</span>, it is right or normal."	adjective		B2	/əˈproʊ.pri.ət/	"<img src=""appropriate.jpg"" />"	It's appropriate to wear a suit when you go to the office.	"• appropriate footwear for the country
<br>• Is this film appropriate for small children?
<br>• I didn't think his comments were very appropriate at the time.
<br>• Is this an appropriate occasion to discuss finance?
<br>• Please complete the appropriate parts of this form (= the parts that are right or necessary for your particular situation) and return it as soon as possible."	[sound:oxford_appropriate.mp3]	[sound:appropriate_meaning.mp3]	[sound:appropriate_example.mp3]						appropriate	appropriate	English::cefr-B2
avoid	"To <span id=""word-in-definition"">avoid</span> something is to stay away from it."	verb		B1	/əˈvɔɪd/	"<img src=""avoid.jpg"" />"	avoid the broken bottle on the floor.	"• I try to avoid supermarkets on Saturdays - they're always so busy.
<br>• I'm anxious to avoid the motorway at rush hour.
<br>• Do you think Lukas is avoiding me? I haven't seen him all day."	[sound:oxford_avoid.mp3]	[sound:avoid_meaning.mp3]	[sound:avoid_example.mp3]						avoid	avoid	English::cefr-B1
behave	"To <span id=""word-in-definition"">behave</span> is to act in a particular way, especially to be good."	verb		B1	/bɪˈheɪv/	"<img src=""behave.jpg"" />"	She always behaves well when her father is around.	"• She always behaves well/badly when her aunts come to visit.
<br>• Whenever there was a full moon he would start behaving strangely.
<br>• They behaved as if nothing had happened."	[sound:oxford_behave.mp3]	[sound:behave_meaning.mp3]	[sound:behave_example.mp3]						behave	behave	English::cefr-B1
calm	"When someone is <span id=""word-in-definition"">calm</span>, they do not get excited or upset."	adjective		B1	/kɑːm/	"<img src=""calm.jpg"" />"	A nice warm bath makes me feel so calm.	"• He has a very calm manner.
<br>• Now keep calm everyone, the police are on their way."	[sound:oxford_calm.mp3]	[sound:calm_meaning.mp3]	[sound:calm_example.mp3]						calm	calm	English::cefr-B1
concern	"<span id=""word-in-definition"">concern</span> is a feeling of worry."	noun		B2	/kənˈsɝːn/	"<img src=""concern.jpg"" />"	I was filled with concern after reading the newspaper.	"• Concern for the safety of the two missing teenagers is growing.
<br>• There's a lot of public concern about/over dangerous toxins recently found in food.
<br>• <span class=""c-grammar-use"">[ + that ]</span> My concern is that you're not getting enough work done."	[sound:oxford_concern.mp3]	[sound:concern_meaning.mp3]	[sound:concern_example.mp3]						concern	concern	English::cefr-B2
expect	"If you <span id=""word-in-definition"">expect</span> something to happen, you believe it will happen."	verb		B1	/ɪkˈspekt/	"<img src=""expect.jpg"" />"	I expect the bus to be here very soon.	"• We are expecting a lot of applicants for the job.
<br>• <span class=""c-grammar-use"">[ + (that) ]</span> I expect (that) you'll find it somewhere in your bedroom.
<br>• I expect (that) he'd have left anyway.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> He didn't expect to see me.
<br>• The financial performance of the business is fully expected (= almost certain) to improve.
<br>• We were half expecting you not to come back."	[sound:oxford_expect.mp3]	[sound:expect_meaning.mp3]	[sound:expect_example.mp3]						expect	expect	English::cefr-B1
habit	"A <span id=""word-in-definition"">habit</span> is a thing that you do often."	noun		B1	/ˈhæb.ɪt/	"<img src=""habit.jpg"" />"	Smoking is a bad habit that can kill you.	"• I always buy the same brand of toothpaste out of (= because of) habit.
<br>• I'm trying not to get into (= start) the habit of always having biscuits with my coffee.
<br>• I used to swim twice a week, but I seem to have got out of (= ended) the habit recently.
<br>• I was taught to drive by my boyfriend and I'm afraid I've picked up (= caught) some of his bad habits.
<br>• I'm trying to get him to break (= end intentionally) the habit of switching on the TV when he comes home at night.
<br>• I don't mind being woken up once or twice in the middle of the night by my flatmate so long as she doesn't make a habit of it (= do it frequently).
<br>• I'm not really in the habit of looking at (= I don't usually look at) other people's clothes, but even I noticed that awful suit!"	[sound:oxford_habit.mp3]	[sound:habit_meaning.mp3]	[sound:habit_example.mp3]						habit	habit	English::cefr-B1
issue	"An <span id=""word-in-definition"">issue</span> is an important topic."	noun		B1	/ˈɪʃ.uː/	"<img src=""issue.jpg"" />"	The men spoke about issue that were important to the people.	"• environmental/ethical/personal issues
<br>• As employers we need to be seen to be addressing (= dealing with) these issues sympathetically.
<br>• Don't worry about who will do it - that's just a side issue (= not the main problem)."	[sound:oxford_issue.mp3]	[sound:issue_meaning.mp3]	[sound:issue_example.mp3]						issue	issue	English::cefr-B1
none	"<span id=""word-in-definition"">none</span> means not any of someone or something."	pronoun		B1	/nʌn/	"<img src=""none.jpg"" />"	He spent all his money. There is none left.	"• None of my children has/have blonde hair.
<br>• ""I'd like some more cheese."" ""I'm sorry there's none left"".
<br>• ""Do you have any idea how much this cost?"" ""None at all/None whatsoever."""	[sound:oxford_none.mp3]	[sound:none_meaning.mp3]	[sound:none_example.mp3]						none	none	English::cefr-B1
patient	"If a person is <span id=""word-in-definition"">patient</span> , they don't become angry or upset easily."	adjective		B1	/ˈpeɪ.ʃənt/	"<img src=""patient.jpg"" />"	I had to be patient and wait until 5 o'clock to leave.	"• Dinner will be ready in half an hour - just be patient!
<br>• Be patient with her - she's very young."	[sound:oxford_patient.mp3]	[sound:patient_meaning.mp3]	[sound:patient_example.mp3]						patient	patient	English::cefr-B1
positive	"If something is <span id=""word-in-definition"">positive</span>, it is good."	adjective		B1	/ˈpɑː.zə.t̬ɪv/	"<img src=""positive.jpg"" />"	She has a positive future ahead of her after finishing college.	"• a positive attitude
<br>• On a more positive note, we're seeing signs that the housing market is picking up.
<br>• The past ten years have seen some very positive developments in East-West relations.
<br>• There was a very positive response to our new design - people seemed very pleased with it."	[sound:oxford_positive.mp3]	[sound:positive_meaning.mp3]	[sound:positive_example.mp3]						positive	positive	English::cefr-B1
punish	"To <span id=""word-in-definition"">punish</span> means to make someone suffer for breaking the rules or laws."	verb		B1	/ˈpʌn.ɪʃ/	"<img src=""punish.jpg"" />"	To punish me, my teacher had me stand in the corner.	"• Those responsible for these crimes must be brought to court and punished.
<br>• He punished the class by giving them extra work.
<br>• The oil company was found guilty on ten counts of pollution, and was punished with a $250 million fine."	[sound:oxford_punish.mp3]	[sound:punish_meaning.mp3]	[sound:punish_example.mp3]						punish	punish	English::cefr-B1
shake	"To <span id=""word-in-definition"">shake</span> is to move back and forth or up and down quickly."	verb		B1	/ʃeɪk/	"<img src=""shake.jpg"" />"	When people shake hands, it usually means they agree.	"• A young boy climbed into the apple tree and shook the branches so that the fruit fell down.
<br>• Babies like toys that make a noise when they're shaken.
<br>• The explosion shook buildings for miles around.
<br>• <span class=""c-grammar-use"">[ + obj + adj  ]</span> People in southern California were shaken awake by an earthquake.
<br>• She shook her hair loose from its ribbon.
<br>• Anna shook some powdered chocolate over her coffee.
<br>• Every time one of these big trucks goes by, all the houses shake.
<br>• The child's body was shaking with sobs."	[sound:oxford_shake.mp3]	[sound:shake_meaning.mp3]	[sound:shake_example.mp3]						shake	shake	English::cefr-B1
spread	"To <span id=""word-in-definition"">spread</span> is to move quickly to more places."	verb		B2	/spred/	"<img src=""spread.jpg"" />"	I like to spread butter on my toast.	• The spread of the disease in the last few years has been alarming.	[sound:oxford_spread.mp3]	[sound:spread_meaning.mp3]	[sound:spread_example.mp3]						spread	spread	English::cefr-B2
aware	"If you are <span id=""word-in-definition"">aware</span> of something, you know about it."	adjective		B2	/əˈwer/	"<img src=""aware.jpg"" />"	I was not aware of the ringing phone.	"• <span class=""c-grammar-use"">[ + that ]</span> I wasn't even aware that he was ill.
<br>• Were you aware of the risks at the time?
<br>• She was well (= very) aware that he was married.
<br>• ""Has Claude paid the phone bill?"" ""Not as far as I'm aware."" (= I don't think so)
<br>• I suddenly became aware of (= started to notice) him looking at me."	[sound:oxford_aware.mp3]	[sound:aware_meaning.mp3]	[sound:aware_example.mp3]						aware	aware	English::cefr-B2
continue	"To <span id=""word-in-definition"">continue</span> something is to keep doing it."	verb		B1	/kənˈtɪn.juː/	"<img src=""continue.jpg"" />"	She stood under her umbrella as the rain continued to fall.	"• <span class=""c-grammar-use"">[ + to infinitive ]</span> It's said that as the boat went down the band continued to play.
<br>• <span class=""c-grammar-use"">[ + -ing verb ]</span> If she continues drinking like that, I'll have to carry her home.
<br>• Do you intend to continue (with) your studies?
<br>• If the rain continues, we'll have to cancel tonight's plans.
<br>• Sally Palmer will be continuing as chairperson this autumn.
<br>• The article continues/is continued on page ten."	[sound:oxford_continue.mp3]	[sound:continue_meaning.mp3]	[sound:continue_example.mp3]						continue	continue	English::cefr-B1
error	"An <span id=""word-in-definition"">error</span> is something you do wrong."	noun		B2	/ˈer.ɚ/	"<img src=""error_1631277826761.jpg"" />"	I made an error on my report, so my boss was angry.	"• He admitted that he'd made an error.
<br>• The letter contains a number of typing errors.
<br>• Human error has been blamed for the air crash.
<br>• With something as delicate as brain surgery, there is little margin for error (= you must not make mistakes)."	[sound:oxford_error.mp3]	[sound:error_meaning.mp3]	[sound:error_example.mp3]						error	error	English::cefr-B2
experience	"An <span id=""word-in-definition"">experience</span> is something you have seen or done."	noun		B1	/ɪkˈspɪr.i.əns/	"<img src=""experience.jpg"" />"	Rock climbing was a fun experience.	"• We experienced a lot of difficulty in selling our house.
<br>• New companies often experience a loss in their first few years.
<br>• It was the worst pain I'd ever experienced."	[sound:oxford_experience.mp3]	[sound:experience_meaning.mp3]	[sound:experience_example.mp3]						experience	experience	English::cefr-B1
likely	"If something <span id=""word-in-definition"">likely</span> happens, it will probably happen."	adjective		B1	/ˈlaɪ.kli/	"<img src=""likely.jpg"" />"	I will likely stay at home and watch TV tonight.	"• Do remind me because I'm likely to forget.
<br>• What's the likely outcome of this whole business?
<br>• I suppose that might happen but it's not very likely.
<br>• <span class=""c-grammar-use"">[ + that ]</span> It's quite likely that we'll be in Spain this time next year."	[sound:oxford_likely.mp3]	[sound:likely_meaning.mp3]	[sound:likely_example.mp3]						likely	likely	English::cefr-B1
rare	"If something is <span id=""word-in-definition"">rare</span>, you do not see it very often."	adjective		B1	/rer/	"<img src=""rare.jpg"" />"	It is rare for him to miss his flight.	"• a rare disease/species
<br>• The museum is full of rare and precious treasures.
<br>• a rare occasion/opportunity/visit/treat, etc.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> It's very rare to find these birds in New England in winter.
<br>• It's very rare to find someone who combines such qualities."	[sound:oxford_rare.mp3]	[sound:rare_meaning.mp3]	[sound:rare_example.mp3]						rare	rare	English::cefr-B1
relax	"To <span id=""word-in-definition"">relax</span> is to rest."	verb		B1	/rɪˈlæks/	"<img src=""relax.jpg"" />"	The frog relaxed in the warm sun.	"• After work she relaxed with a cup of tea and the newspaper.
<br>• By and large, cooking relaxes me."	[sound:oxford_relax.mp3]	[sound:relax_meaning.mp3]	[sound:relax_example.mp3]						relax	relax	English::cefr-B1
request	"To <span id=""word-in-definition"">request</span> something is to ask for it."	verb	formal	B1	/rɪˈkwest/	"<img src=""request.jpg"" />"	The little girl requested a special gift from Santa Claus.		[sound:oxford_request.mp3]	[sound:request_meaning.mp3]	[sound:request_example.mp3]						request	request	English::cefr-B1
result	"A <span id=""word-in-definition"">result</span> is something that happens because of something else."	noun		B1	/rɪˈzʌlt/	"<img src=""result.jpg"" />"	As a result of all the rain, the man had to climb on the roof.	"• The road has been widened, but the result is just more traffic.
<br>• His broken leg is the direct result of his own carelessness.
<br>• I tried to repaint the kitchen walls with disastrous results.
<br>• To ensure good/the best results, use Italian tomatoes and fresh basil."	[sound:oxford_result.mp3]	[sound:result_meaning.mp3]	[sound:result_example.mp3]						result	result	English::cefr-B1
roll	"To <span id=""word-in-definition"">roll</span> is to move by turning over and over."	verb		B2	/roʊl/	"<img src=""roll.jpg"" />"	You must roll the ball into the pins when you bowl.	"• The vase rolled off the edge of the table and smashed.
<br>• The dog rolled over onto its back.
<br>• I rolled the wheel along the side of the road back to the car."	[sound:oxford_roll.mp3]	[sound:roll_meaning.mp3]	[sound:roll_example.mp3]						roll	roll	English::cefr-B2
since	"<span id=""word-in-definition"">since</span> is used to talk about a past event still happening now."	adverb		B2	/sɪns/	"<img src=""since.jpg"" />"	since 1992, he has been driving that car.	"• Emma went to work in New York a year ago, and we haven't seen her since.
<br>• He started working for the company in 1995, and has been there ever since (= and is still there).
<br>• I've long since (= long ago) forgotten any Latin I ever learned."	[sound:oxford_since.mp3]	[sound:since_meaning.mp3]	[sound:since_example.mp3]						since	since	English::cefr-B2
visible	"If something is <span id=""word-in-definition"">visible</span>, it can be seen."	adjective		B2	/ˈvɪz.ə.bəl/	"<img src=""visible.jpg"" />"	The moon and stars were visible in the night sky.	"• You should wear something light-coloured when you're cycling at night so that you're more visible.
<br>• The writing on the tombstone was barely visible.
<br>• There are few visible signs of the illness that kept her in hospital for so long.
<br>• The comet should be visible to the naked eye."	[sound:oxford_visible.mp3]	[sound:visible_meaning.mp3]	[sound:visible_example.mp3]						visible	visible	English::cefr-B2
advantage	"An <span id=""word-in-definition"">advantage</span> is something that helps you."	noun	formal	B1	/ədˈvæn.t̬ɪdʒ/	"<img src=""advantage.jpg"" />"	Being tall is an advantage to a basketball player.	"• The advantage of booking tickets in advance is that you get better seats.
<br>• Despite the twin advantages of wealth and beauty, she did not have a happy life.
<br>• <span class=""c-grammar-use"">[ + to infinitive ]</span> It would be to your advantage (= it would improve the situation for you) to agree to his demands.
<br>• For a goalkeeper, it's a great advantage to have big hands.
<br>• His height and reach give him a big advantage over (= make him better than) other boxers.
<br>• UK formal ""Do you know how old I am?"" ""I'm afraid you have the advantage of me there (= you know the answer but I do not)."""	[sound:oxford_advantage.mp3]	[sound:advantage_meaning.mp3]	[sound:advantage_example.mp3]						advantage	advantage	English::cefr-B1
cause	"To <span id=""word-in-definition"">cause</span> is to make something happen."	verb		B2	/kɑːz/	"<img src=""cause.jpg"" />"	The cold weather caused her to get sick.	"• The difficult driving conditions caused several accidents.
<br>• <span class=""c-grammar-use"">[ + obj + to infinitive  ]</span> The bright light caused her to blink.
<br>• Most heart attacks are caused by blood clots.
<br>• <span class=""c-grammar-use"">[ + two objects ]</span> I hope the children haven't caused you too much trouble."	[sound:oxford_cause.mp3]	[sound:cause_meaning.mp3]	[sound:cause_example.mp3]						cause	cause	English::cefr-B2
choice	"A <span id=""word-in-definition"">choice</span> is the act or possibility of picking something."	noun		B1	/tʃɔɪs/	"<img src=""choice_1631277826761.jpg"" />"	I had my choice of five doors to open.	"• If the product doesn't work, you are given the choice of a refund or a replacement.
<br>• It's a difficult choice to make.
<br>• It's your choice/The choice is yours (= only you can decide).
<br>• It was a choice between pain now or pain later, so I chose pain later.
<br>• Now you know all the facts, you can make an informed choice.
<br>• I'd prefer not to work but I don't have much choice (= this is not possible).
<br>• He had no choice but to accept (= he had to accept).
<br>• Is she single by choice?
<br>• Champagne is their drink of choice (= the one they most often drink)."	[sound:oxford_choice.mp3]	[sound:choice_meaning.mp3]	[sound:choice_example.mp3]						choice	choice	English::cefr-B1
community	"A <span id=""word-in-definition"">community</span> is a group of people who live together."	noun		B2	/kəˈmjuː.nə.t̬i/	"<img src=""community.jpg"" />"	The kids from my community usually play together.	"• He's well known in the local community.
<br>• There's a large black/white/Jewish community living in this area.
<br>• Her speech caused outrage among the gay community.
<br>• Drug trafficking is a matter of considerable concern for the entire international community (= all the countries of the world).
<br>• There's a real sense of community (= caring and friendly feeling) in this neighbourhood."	[sound:oxford_community.mp3]	[sound:community_meaning.mp3]	[sound:community_example.mp3]						community	community	English::cefr-B2
distance	"The <span id=""word-in-definition"">distance</span> between two things is how far it is between them."	noun		B1	/ˈdɪs.təns/	"<img src=""distance.jpg"" />"	The distance between the Earth and the Moon is 384,400 kilometers.	"• What's the distance between Madrid and Barcelona/from Madrid to Barcelona?
<br>• He travels quite a distance (= a long way) to work every day.
<br>• Does she live within walking distance of her parents?"	[sound:oxford_distance.mp3]	[sound:distance_meaning.mp3]	[sound:distance_example.mp3]						distance	distance	English::cefr-B1
escape	"To <span id=""word-in-definition"">escape</span> is to run away from something bad."	verb		B1	/ɪˈskeɪp/	"<img src=""escape.jpg"" />"	The butterfly could not escape from the cage.	"• Two prisoners have escaped.
<br>• A lion has escaped from its cage.
<br>• She was lucky to escape serious injury.
<br>• He narrowly (= only just) escaped a fine.
<br>• His name escapes me (= I have forgotten his name).
<br>• Nothing important escapes her notice/attention."	[sound:oxford_escape.mp3]	[sound:escape_meaning.mp3]	[sound:escape_example.mp3]						escape	escape	English::cefr-B1
face	"If you <span id=""word-in-definition"">face</span> a problem, you deal with it."	verb		B2	/feɪs/	"<img src=""face.jpg"" />"	My sister and I have to find a better way to face our differences.	"• This is one of the many problems faced by working mothers.
<br>• Passengers could face long delays.
<br>• You're faced with a very difficult choice there."	[sound:oxford_face.mp3]	[sound:face_meaning.mp3]	[sound:face_example.mp3]						face	face	English::cefr-B2
ghost	"A <span id=""word-in-definition"">ghost</span> is the spirit of a dead person."	noun		B1	/ɡoʊst/	"<img src=""ghost.jpg"" />"	Many people are afraid of ghosts.	"• Do you believe in ghosts?
<br>• The gardens are said to be haunted by the ghost of a child who drowned in the river."	[sound:oxford_ghost.mp3]	[sound:ghost_meaning.mp3]	[sound:ghost_example.mp3]						ghost	ghost	English::cefr-B1
individual	"An <span id=""word-in-definition"">individual</span> is one person."	noun		B2	/ˌɪn.dəˈvɪdʒ.u.əl/	"<img src=""individual.jpg"" />"	Only one individual could win the bicycle race.	"• Every individual has rights which must never be taken away.
<br>• Like many creative individuals, she can be very bad-tempered.
<br>• We try to treat our students as individuals."	[sound:oxford_individual.mp3]	[sound:individual_meaning.mp3]	[sound:individual_example.mp3]						individual	individual	English::cefr-B2
